1000,GOMEZ,SOFIA,28660514,5, 5.4272285918977577E+003,TRUE
1001,PENALVA,LUCIANO,26832586,4, 2.3345827032469679E+004,TRUE
1002,CAAMANO,JIMENA,11780530,12, 2.1753330042910296E+004,TRUE
1003,TABORDA,NERINA,25537020,1, 6.2076042105862871E+002,TRUE
1004,SCHLUZER,HERNAN,17802521,3, 3.7484503352974076E+004,TRUE
1005,CASTON,MARCELO,29643035,4, 3.6517802997963503E+004,TRUE
1006,SHON,MARIANA,25358515,15, 2.5978106576800579E+004,TRUE
1007,NOIR,MARIANELA,29534045,12, 3.8297229310637107E+004,TRUE
1008,LUCAS,MARIANELA,11587041,2, 3.4786174967913656E+004,TRUE
1009,TONETTI,MARIANA,27395066,3, 3.7307263929608045E+004,TRUE
1010,GARCIA,MARIANA,28159015,10, 2.7007255933049601E+004,TRUE
1011,FOCHESATO,JULIAN,19359540,12, 3.8721048220403725E+004,TRUE
1012,CESTRILLI,LEANDRO,20412531,12, 1.3678190809997031E+004,TRUE
1013,MENOYO,LEANDRO,21385029,2, 1.8405109464270063E+003,TRUE
1014,HERMIDA,FLORENCIA,11552087,10, 7.9122468134111259E+003,TRUE
1015,CABRAL,MAXIMILIANO,14713068,11, 2.1520825684101088E+004,TRUE
1016,VEGA,LETICIA,16446026,9, 1.9559980503862957E+004,TRUE
1017,GONZALEZ,LUCIA,14083598,7, 3.0256934065253241E+004,TRUE
1018,ADAMS,LUCIANA,26380581,1, 4.1468469362019328E+004,TRUE
1019,ROTTELA,MARCOS,11791046,8, 4.0937057360644685E+004,TRUE
1020,RAMA,LORENA,34282505,2, 4.0901932391015580E+004,TRUE
1021,SUAREZ,MARTINA,21860514,3, 4.6757639112807810E+004,TRUE
1022,OCHOA,MAXIMILIANO,29717515,8, 4.5453814149602549E+004,TRUE
1023,NEGRI,NATALIA,15341004,10, 2.9944501396239037E+004,TRUE
1024,GRECCO,MATIAS,30651512,6, 3.2275954264940461E+004,TRUE
1025,GUIRIN,MAXIMILIANO,20212509,14, 3.7600553442814387E+004,TRUE
1026,GALVAN,ANABELLA,23587026,3, 4.6784279850162100E+004,TRUE
1027,FERREYRA,EZEQUIEL,24339057,2, 1.2794889575115172E+004,TRUE
1028,PENDOLA,NADIA,16821533,3, 4.6000895015506307E+004,TRUE
1029,RINALDI,MERCEDES,11363586,1, 4.4316773868206190E+004,TRUE
1030,EXTREMADOURO,MIGUEL,12052592,4, 8.3966275139898062E+002,TRUE
1031,SILVA,MARIANELA,28773030,3, 2.6984785840154858E+004,TRUE
1032,GALLO,MARIANO,17900579,15, 1.9486605029375292E+004,TRUE
1033,RUIZ,MARICEL,24397507,3, 4.3657501277410192E+004,TRUE
1034,GONZALEZ,MARIANGELES,30414580,13, 3.9114455150493188E+004,TRUE
1035,CHE,MARIANO,18671063,12, 1.0205553483981406E+004,TRUE
1036,HILLEBRAND,MARINA,33178592,13, 7.2170268982409034E+003,TRUE
1037,RODRIGUEZ,MARLENE,33284097,5, 1.3774550908120116E+004,TRUE
1038,LOPEZ,MARTIN,19827012,1, 4.4168851800202392E+004,TRUE
1039,POLIMANTE,MARINA,29612510,4, 4.5231800249381922E+004,TRUE
1040,STEVANELLI,MARISOL,13112555,1, 1.8493104371239897E+004,TRUE
1041,URQUIA,HERNANDO,22257584,8, 2.7918699158404954E+004,TRUE
1042,AVENDANO,EMMANUEL,27941016,13, 3.0231509076210670E+004,TRUE
1043,ABALO,MAURICIO,13095072,8, 4.1181461370419012E+004,TRUE
1044,GONZALEZ,MARYLIN,34047529,6, 3.8956918049135944E+004,TRUE
1045,BORREGO,ANTONELLA,17045080,9, 3.2184052861113334E+004,TRUE
1046,CALLEJAS,FERNANDO,30572014,3, 4.4028844720822293E+004,TRUE
1047,BONIFAZI,CAMILA,25521503,4, 1.2563792786593083E+004,TRUE
1048,D'AGOSTINO,ESTEFANIA,16270022,15, 4.5401763512185775E+004,TRUE
1049,BROWN,LEONEL,27834582,5, 7.4931953377388418E+003,TRUE
1050,BRESCACIN,EZEQUIEL,10418072,11, 3.4202430428400636E+004,TRUE
1051,SARLINGA,EVANGELINA,14730570,8, 2.5363124635101063E+004,TRUE
1052,LIENDO,ELIANA,16021003,7, 3.2380663361527259E+004,TRUE
1053,MONTERO,ELIANA,31045047,15, 4.7176415525532793E+003,TRUE
1054,BODANO,ANGELICA,22318515,5, 2.9538213133823359E+004,TRUE
1055,CABANILLAS,ANTONELA,26159518,9, 1.1519657544282498E+004,TRUE
1056,GEISHAUSER,DANIELA,19754580,9, 9.4620301199569367E+003,TRUE
1057,FERNANDEZ,GIULIANA,30628556,14, 3.5196611964492127E+004,TRUE
1058,MASSAFRA,FEDERICO,16085566,11, 2.7776811089806724E+004,TRUE
1059,GARCIA,DEMIAN,15397516,9, 1.1971652467029635E+003,TRUE
1060,OCAMPO,FEDERICO,25900581,13, 4.9545940827415325E+002,TRUE
1061,SANTINI,FACUNDO,10750599,7, 2.7943719973847270E+004,TRUE
1062,SITTNER,EUGENIA,19728001,3, 3.0809190553244436E+004,TRUE
1063,CAMINOS,CAROLINA,26261530,11, 2.3377176074467599E+004,TRUE
1064,VARGAS,FLAVIO,30886504,11, 8.2109429504342843E+003,TRUE
1065,BURGOS,DAVID,11726568,4, 2.4474083661087789E+004,TRUE
1066,FARIAS,CANDELARIA,11006055,11, 4.6288189479734749E+004,TRUE
1067,CAMILLI,CARLA,25365012,8, 1.2868073000485776E+004,TRUE
1068,PAZ,LUCRECIA,22151005,9, 3.3484651806090493E+004,TRUE
1069,HERNANDEZ,ESTEFANIA,27354099,5, 6.6138730196650140E+003,TRUE
1070,DIDERICH,FACUNDO,32612011,14, 4.9159747085731709E+004,TRUE
1071,IBARRA,IRINA,16117556,11, 4.8635550430778647E+004,TRUE
